Community,Crime,Frequency,Period
C17,DECEPTIVE PRACTICE,104,Day
C36,CRIMINAL DAMAGE,67,Day
C39,BATTERY,166,Day
C26,PUBLIC PEACE VIOLATION,26,Day
C76,CRIMINAL DAMAGE,54,Day
C21,OTHER OFFENSE,111,Day
C77,DECEPTIVE PRACTICE,203,Day
C70,ARSON,1,Day
C13,OFFENSE INVOLVING CHILDREN,5,Day
C36,KIDNAPPING,1,Day
C27,OFFENSE INVOLVING CHILDREN,29,Day
C66,NARCOTICS,160,Day
C73,MOTOR VEHICLE THEFT,90,Day
C23,PUBLIC INDECENCY,1,Day
C67,OFFENSE INVOLVING CHILDREN,53,Day
C70,BATTERY,310,Day
C42,WEAPONS VIOLATION,49,Day
C50,HOMICIDE,1,Day
C39,HOMICIDE,2,Day
C67,THEFT,695,Day
C62,SEX OFFENSE,5,Day
C46,ASSAULT,305,Day
C73,STALKING,3,Day
C9,OFFENSE INVOLVING CHILDREN,1,Day
C55,CRIMINAL TRESPASS,7,Day
C71,CRIM SEXUAL ASSAULT,19,Day
C22,SEX OFFENSE,14,Day
C50,NON-CRIMINAL (SUBJECT SPECIFIED),1,Day
C37,BURGLARY,18,Day
C66,PUBLIC PEACE VIOLATION,16,Day
C36,ROBBERY,16,Day
C61,OTHER OFFENSE,257,Day
C9,THEFT,40,Day
C68,CRIM SEXUAL ASSAULT,10,Day
C7,SEX OFFENSE,8,Day
C53,HOMICIDE,6,Day
C20,NARCOTICS,19,Day
C55,THEFT,88,Day
C67,ARSON,6,Day
C50,NON-CRIMINAL,1,Day
C34,NARCOTICS,5,Day
C60,ASSAULT,76,Day
C11,OBSCENITY,1,Day
C51,OBSCENITY,1,Day
C61,STALKING,9,Day
C50,CRIMINAL DAMAGE,77,Day
C45,DECEPTIVE PRACTICE,54,Day
C39,WEAPONS VIOLATION,7,Day
C10,CRIMINAL DAMAGE,84,Day
C58,CRIMINAL TRESPASS,23,Day
C54,INTERFERENCE WITH PUBLIC OFFICER,5,Day
C70,SEX OFFENSE,5,Day
C16,STALKING,2,Day
C2,ASSAULT,172,Day
C20,PUBLIC PEACE VIOLATION,7,Day
C41,OFFENSE INVOLVING CHILDREN,11,Day
C19,SEX OFFENSE,8,Day
C56,PROSTITUTION,9,Day
C7,BURGLARY,135,Day
C58,INTIMIDATION,3,Day
C70,WEAPONS VIOLATION,18,Day
C41,THEFT,493,Day
C44,HUMAN TRAFFICKING,1,Day
C53,ARSON,3,Day
C30,KIDNAPPING,1,Day
C34,CRIM SEXUAL ASSAULT,1,Day
C60,NARCOTICS,20,Day
C70,KIDNAPPING,1,Day
C61,OFFENSE INVOLVING CHILDREN,26,Day
C30,ROBBERY,139,Day
C7,DECEPTIVE PRACTICE,348,Day
C74,ASSAULT,33,Day
C56,MOTOR VEHICLE THEFT,74,Day
C65,BURGLARY,77,Day
C53,BATTERY,554,Day
C2,NARCOTICS,28,Day
C40,ASSAULT,199,Day
C3,OFFENSE INVOLVING CHILDREN,13,Day
C11,DECEPTIVE PRACTICE,96,Day
C60,PUBLIC PEACE VIOLATION,2,Day
C16,LIQUOR LAW VIOLATION,2,Day
C25,DECEPTIVE PRACTICE,622,Day
C45,SEX OFFENSE,4,Day
C14,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C34,PUBLIC PEACE VIOLATION,7,Day
C3,THEFT,729,Day
C59,SEX OFFENSE,1,Day
C65,DECEPTIVE PRACTICE,100,Day
C14,CRIM SEXUAL ASSAULT,5,Day
C44,OTHER OFFENSE,345,Day
C19,CRIMINAL DAMAGE,323,Day
C2,PUBLIC PEACE VIOLATION,11,Day
C48,CRIM SEXUAL ASSAULT,2,Day
C66,GAMBLING,8,Day
C74,NARCOTICS,4,Day
C13,ARSON,7,Day
C56,OTHER NARCOTIC VIOLATION,1,Day
C21,THEFT,484,Day
C16,MOTOR VEHICLE THEFT,122,Day
C50,WEAPONS VIOLATION,24,Day
C61,THEFT,639,Day
C73,ARSON,2,Day
C75,THEFT,384,Day
C13,BATTERY,99,Day
C40,NARCOTICS,36,Day
C39,KIDNAPPING,1,Day
C76,MOTOR VEHICLE THEFT,47,Day
C50,ROBBERY,18,Day
C39,ROBBERY,63,Day
C54,ASSAULT,115,Day
C73,BATTERY,417,Day
C70,CRIMINAL DAMAGE,250,Day
C36,MOTOR VEHICLE THEFT,25,Day
C56,LIQUOR LAW VIOLATION,1,Day
C38,INTIMIDATION,2,Day
C74,PUBLIC PEACE VIOLATION,1,Day
C45,BURGLARY,53,Day
C33,BATTERY,189,Day
C38,CRIMINAL TRESPASS,59,Day
C59,CRIMINAL DAMAGE,85,Day
C39,NON-CRIMINAL,1,Day
C59,ROBBERY,29,Day
C25,SEX OFFENSE,30,Day
C64,OTHER OFFENSE,53,Day
C7,NON-CRIMINAL,1,Day
C73,HOMICIDE,6,Day
C10,KIDNAPPING,5,Day
C25,WEAPONS VIOLATION,287,Day
C46,GAMBLING,4,Day
C54,NARCOTICS,33,Day
C10,ROBBERY,6,Day
C6,OTHER OFFENSE,145,Day
C59,WEAPONS VIOLATION,10,Day
C70,ROBBERY,66,Day
C25,NON-CRIMINAL,1,Day
C19,KIDNAPPING,5,Day
C67,HOMICIDE,11,Day
C30,CRIMINAL DAMAGE,342,Day
C20,ASSAULT,75,Day
C19,WEAPONS VIOLATION,31,Day
C7,WEAPONS VIOLATION,1,Day
C19,ROBBERY,88,Day
C34,ASSAULT,60,Day
C31,DECEPTIVE PRACTICE,91,Day
C8,PUBLIC INDECENCY,1,Day
C40,PUBLIC PEACE VIOLATION,11,Day
C18,INTIMIDATION,1,Day
C25,BURGLARY,357,Day
C54,PUBLIC PEACE VIOLATION,6,Day
C24,OTHER OFFENSE,229,Day
C39,SEX OFFENSE,4,Day
C18,CRIMINAL TRESPASS,9,Day
C39,CRIMINAL DAMAGE,120,Day
C21,OFFENSE INVOLVING CHILDREN,13,Day
C50,KIDNAPPING,3,Day
C54,CRIM SEXUAL ASSAULT,6,Day
C42,PROSTITUTION,1,Day
C17,NARCOTICS,11,Day
C73,WEAPONS VIOLATION,42,Day
C6,OFFENSE INVOLVING CHILDREN,8,Day
C58,THEFT,231,Day
C77,NARCOTICS,21,Day
C33,ROBBERY,57,Day
C19,MOTOR VEHICLE THEFT,271,Day
C32,INTIMIDATION,3,Day
C59,MOTOR VEHICLE THEFT,33,Day
C28,BURGLARY,202,Day
C24,LIQUOR LAW VIOLATION,9,Day
C53,SEX OFFENSE,3,Day
C16,BATTERY,291,Day
C22,CRIM SEXUAL ASSAULT,8,Day
C53,CRIMINAL DAMAGE,350,Day
C56,BATTERY,201,Day
C27,CRIMINAL DAMAGE,268,Day
C28,DECEPTIVE PRACTICE,573,Day
C17,INTERFERENCE WITH PUBLIC OFFICER,3,Day
C21,ARSON,2,Day
C44,OFFENSE INVOLVING CHILDREN,40,Day
C32,HUMAN TRAFFICKING,1,Day
C18,OFFENSE INVOLVING CHILDREN,2,Day
C69,GAMBLING,4,Day
C18,THEFT,75,Day
C47,ROBBERY,3,Day
C72,CRIMINAL TRESPASS,19,Day
C13,CRIMINAL DAMAGE,67,Day
C73,NON-CRIMINAL,1,Day
C46,CRIMINAL TRESPASS,83,Day
C13,ROBBERY,11,Day
C67,CRIMINAL DAMAGE,538,Day
C57,ASSAULT,39,Day
C12,INTIMIDATION,1,Day
C67,ROBBERY,183,Day
C33,SEX OFFENSE,5,Day
C1,DECEPTIVE PRACTICE,173,Day
C77,PUBLIC PEACE VIOLATION,7,Day
C48,BURGLARY,64,Day
C72,OTHER OFFENSE,62,Day
C9,CRIMINAL DAMAGE,13,Day
C41,ARSON,2,Day
C73,KIDNAPPING,4,Day
C33,WEAPONS VIOLATION,3,Day
C9,OTHER OFFENSE,20,Day
C9,ROBBERY,2,Day
C41,HOMICIDE,1,Day
C70,MOTOR VEHICLE THEFT,126,Day
C32,CRIMINAL TRESPASS,201,Day
C13,KIDNAPPING,1,Day
C61,ARSON,10,Day
C33,NON-CRIMINAL,2,Day
C4,CRIM SEXUAL ASSAULT,4,Day
C57,NARCOTICS,13,Day
C27,ROBBERY,139,Day
C44,STALKING,6,Day
C30,LIQUOR LAW VIOLATION,6,Day
C29,CONCEALED CARRY LICENSE VIOLATION,2,Day
C73,SEX OFFENSE,7,Day
C68,DECEPTIVE PRACTICE,148,Day
C32,OTHER OFFENSE,186,Day
C33,CRIMINAL DAMAGE,104,Day
C47,CRIMINAL DAMAGE,41,Day
C37,ASSAULT,72,Day
C62,CRIM SEXUAL ASSAULT,3,Day
C13,SEX OFFENSE,7,Day
C50,PROSTITUTION,1,Day
C1,SEX OFFENSE,16,Day
C37,INTERFERENCE WITH PUBLIC OFFICER,4,Day
C57,PUBLIC PEACE VIOLATION,5,Day
C70,OTHER NARCOTIC VIOLATION,1,Day
C52,OTHER OFFENSE,82,Day
C30,MOTOR VEHICLE THEFT,156,Day
C24,OFFENSE INVOLVING CHILDREN,29,Day
C38,OFFENSE INVOLVING CHILDREN,17,Day
C61,HOMICIDE,9,Day
C53,KIDNAPPING,3,Day
C6,STALKING,4,Day
C53,WEAPONS VIOLATION,84,Day
C50,MOTOR VEHICLE THEFT,23,Day
C39,MOTOR VEHICLE THEFT,39,Day
C44,LIQUOR LAW VIOLATION,1,Day
C12,CRIMINAL TRESPASS,15,Day
C17,ASSAULT,83,Day
C36,BATTERY,78,Day
C13,NON-CRIMINAL,1,Day
C52,CRIMINAL TRESPASS,9,Day
C49,CONCEALED CARRY LICENSE VIOLATION,1,Day
C66,CRIMINAL TRESPASS,81,Day
C37,NARCOTICS,24,Day
C77,ASSAULT,95,Day
C3,HOMICIDE,3,Day
C64,STALKING,1,Day
C17,PUBLIC PEACE VIOLATION,4,Day
C68,OBSCENITY,3,Day
C48,DECEPTIVE PRACTICE,61,Day
C68,BURGLARY,183,Day
C1,BURGLARY,141,Day
C29,GAMBLING,20,Day
C64,OFFENSE INVOLVING CHILDREN,10,Day
C66,INTIMIDATION,3,Day
C42,CRIM SEXUAL ASSAULT,8,Day
C30,PROSTITUTION,2,Day
C13,WEAPONS VIOLATION,3,Day
C49,GAMBLING,7,Day
C37,PUBLIC PEACE VIOLATION,1,Day
C19,PROSTITUTION,8,Day
C67,KIDNAPPING,3,Day
C21,HOMICIDE,1,Day
C58,OFFENSE INVOLVING CHILDREN,11,Day
C6,LIQUOR LAW VIOLATION,7,Day
C38,THEFT,471,Day
C10,MOTOR VEHICLE THEFT,20,Day
C22,OBSCENITY,1,Day
C21,CRIMINAL DAMAGE,166,Day
C22,BURGLARY,226,Day
C21,ROBBERY,58,Day
C75,OTHER OFFENSE,127,Day
C31,PUBLIC PEACE VIOLATION,9,Day
C62,DECEPTIVE PRACTICE,62,Day
C60,INTIMIDATION,1,Day
C76,DECEPTIVE PRACTICE,183,Day
C65,INTERFERENCE WITH PUBLIC OFFICER,2,Day
C56,BURGLARY,90,Day
C27,STALKING,2,Day
C43,GAMBLING,1,Day
C15,OTHER OFFENSE,176,Day
C51,PUBLIC PEACE VIOLATION,7,Day
C36,SEX OFFENSE,3,Day
C4,DECEPTIVE PRACTICE,153,Day
C52,THEFT,129,Day
C31,NARCOTICS,23,Day
C36,WEAPONS VIOLATION,4,Day
C44,HOMICIDE,6,Day
C10,BATTERY,113,Day
C6,ARSON,1,Day
C22,DECEPTIVE PRACTICE,263,Day
C51,ASSAULT,129,Day
C67,STALKING,3,Day
C41,CRIMINAL DAMAGE,91,Day
C16,SEX OFFENSE,16,Day
C27,LIQUOR LAW VIOLATION,3,Day
C55,OTHER OFFENSE,40,Day
C42,DECEPTIVE PRACTICE,102,Day
C76,SEX OFFENSE,3,Day
C29,INTIMIDATION,1,Day
C36,BURGLARY,15,Day
C45,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C23,GAMBLING,18,Day
C2,CRIMINAL TRESPASS,83,Day
C32,OFFENSE INVOLVING CHILDREN,3,Day
C61,KIDNAPPING,2,Day
C53,PROSTITUTION,13,Day
C32,THEFT,5127,Day
C44,ARSON,3,Day
C67,PROSTITUTION,42,Day
C61,ROBBERY,146,Day
C51,NARCOTICS,34,Day
C47,MOTOR VEHICLE THEFT,13,Day
C11,ASSAULT,51,Day
C20,CRIMINAL TRESPASS,22,Day
C76,NON-CRIMINAL,2,Day
C44,BATTERY,814,Day
C60,CRIMINAL TRESPASS,18,Day
C24,HOMICIDE,1,Day
C16,BURGLARY,143,Day
C76,BURGLARY,10,Day
C56,DECEPTIVE PRACTICE,162,Day
C45,CRIM SEXUAL ASSAULT,4,Day
C63,GAMBLING,1,Day
C69,CRIMINAL TRESPASS,97,Day
C33,PROSTITUTION,2,Day
C72,OFFENSE INVOLVING CHILDREN,7,Day
C35,OTHER OFFENSE,114,Day
C56,SEX OFFENSE,4,Day
C9,MOTOR VEHICLE THEFT,5,Day
C4,BURGLARY,78,Day
C11,NARCOTICS,13,Day
C65,CRIM SEXUAL ASSAULT,2,Day
C6,BATTERY,347,Day
C12,OFFENSE INVOLVING CHILDREN,2,Day
C42,OBSCENITY,1,Day
C71,NARCOTICS,271,Day
C16,WEAPONS VIOLATION,8,Day
C42,BURGLARY,245,Day
C12,THEFT,98,Day
C41,ROBBERY,47,Day
C43,CONCEALED CARRY LICENSE VIOLATION,1,Day
C13,MOTOR VEHICLE THEFT,34,Day
C27,MOTOR VEHICLE THEFT,131,Day
C40,INTIMIDATION,1,Day
C7,CRIM SEXUAL ASSAULT,12,Day
C67,MOTOR VEHICLE THEFT,126,Day
C24,BATTERY,518,Day
C40,CRIMINAL TRESPASS,40,Day
C11,PUBLIC PEACE VIOLATION,4,Day
C62,OBSCENITY,1,Day
C29,CRIMINAL TRESPASS,214,Day
C61,CRIMINAL DAMAGE,303,Day
C64,BATTERY,89,Day
C71,PUBLIC PEACE VIOLATION,47,Day
C49,INTIMIDATION,1,Day
C36,DECEPTIVE PRACTICE,25,Day
C25,INTERFERENCE WITH PUBLIC OFFICER,56,Day
C72,THEFT,169,Day
C25,CRIM SEXUAL ASSAULT,38,Day
C13,PROSTITUTION,1,Day
C49,CRIMINAL TRESPASS,151,Day
C3,CRIMINAL DAMAGE,197,Day
C52,OFFENSE INVOLVING CHILDREN,11,Day
C3,ROBBERY,54,Day
C73,PROSTITUTION,1,Day
C56,WEAPONS VIOLATION,6,Day
C2,INTIMIDATION,2,Day
C24,ARSON,3,Day
C31,ASSAULT,168,Day
C71,ASSAULT,536,Day
C57,PUBLIC INDECENCY,1,Day
C39,BURGLARY,41,Day
C27,BATTERY,755,Day
C9,ARSON,2,Day
C63,INTIMIDATION,1,Day
C50,DECEPTIVE PRACTICE,40,Day
C68,ASSAULT,435,Day
C15,STALKING,1,Day
C63,CRIMINAL TRESPASS,25,Day
C7,OBSCENITY,2,Day
C3,LIQUOR LAW VIOLATION,1,Day
C39,DECEPTIVE PRACTICE,77,Day
C6,ROBBERY,72,Day
C58,OTHER OFFENSE,115,Day
C48,INTERFERENCE WITH PUBLIC OFFICER,2,Day
C68,PUBLIC PEACE VIOLATION,35,Day
C27,ARSON,4,Day
C26,GAMBLING,12,Day
C5,CRIMINAL TRESPASS,26,Day
C6,NON-CRIMINAL,2,Day
C50,SEX OFFENSE,1,Day
C10,BURGLARY,50,Day
C35,THEFT,587,Day
C64,WEAPONS VIOLATION,1,Day
C64,ROBBERY,9,Day
C68,NARCOTICS,243,Day
C14,ASSAULT,93,Day
C70,BURGLARY,146,Day
C24,ROBBERY,180,Day
C23,CRIMINAL TRESPASS,110,Day
C28,ASSAULT,465,Day
C44,CRIMINAL DAMAGE,420,Day
C45,OBSCENITY,1,Day
C47,BATTERY,47,Day
C71,GAMBLING,6,Day
C53,CRIM SEXUAL ASSAULT,6,Day
C19,BURGLARY,228,Day
C48,PUBLIC PEACE VIOLATION,6,Day
C6,WEAPONS VIOLATION,2,Day
C18,OTHER OFFENSE,45,Day
C3,MOTOR VEHICLE THEFT,74,Day
C59,DECEPTIVE PRACTICE,44,Day
C73,CRIM SEXUAL ASSAULT,7,Day
C75,OFFENSE INVOLVING CHILDREN,23,Day
C38,OTHER OFFENSE,183,Day
C24,WEAPONS VIOLATION,21,Day
C47,HOMICIDE,1,Day
C6,SEX OFFENSE,14,Day
C14,NARCOTICS,16,Day
C49,THEFT,738,Day
C44,NON-CRIMINAL,1,Day
C28,NARCOTICS,127,Day
C8,GAMBLING,2,Day
C30,SEX OFFENSE,15,Day
C55,STALKING,2,Day
C41,LIQUOR LAW VIOLATION,2,Day
C44,ROBBERY,178,Day
C46,CONCEALED CARRY LICENSE VIOLATION,1,Day
C58,ROBBERY,79,Day
C43,INTIMIDATION,4,Day
C14,PUBLIC PEACE VIOLATION,5,Day
C64,CRIMINAL DAMAGE,94,Day
C28,PUBLIC PEACE VIOLATION,29,Day
C1,INTERFERENCE WITH PUBLIC OFFICER,9,Day
C28,CRIM SEXUAL ASSAULT,17,Day
C24,KIDNAPPING,1,Day
C10,WEAPONS VIOLATION,3,Day
C61,MOTOR VEHICLE THEFT,109,Day
C6,CRIMINAL DAMAGE,239,Day
C55,OFFENSE INVOLVING CHILDREN,14,Day
C30,BURGLARY,131,Day
C27,HOMICIDE,12,Day
C10,DECEPTIVE PRACTICE,99,Day
C10,NON-CRIMINAL,1,Day
C59,BURGLARY,55,Day
C29,THEFT,742,Day
C70,DECEPTIVE PRACTICE,144,Day
C48,NARCOTICS,25,Day
C25,OBSCENITY,4,Day
C35,STALKING,1,Day
C24,CRIMINAL DAMAGE,562,Day
C19,DECEPTIVE PRACTICE,257,Day
C23,INTIMIDATION,5,Day
C28,INTERFERENCE WITH PUBLIC OFFICER,4,Day
C44,SEX OFFENSE,9,Day
C68,INTERFERENCE WITH PUBLIC OFFICER,23,Day
C3,STALKING,1,Day
C60,THEFT,270,Day
C1,CRIM SEXUAL ASSAULT,13,Day
C9,BATTERY,23,Day
C15,OFFENSE INVOLVING CHILDREN,21,Day
C69,OFFENSE INVOLVING CHILDREN,46,Day
C30,WEAPONS VIOLATION,76,Day
C21,MOTOR VEHICLE THEFT,69,Day
C15,THEFT,568,Day
C44,WEAPONS VIOLATION,70,Day
C69,THEFT,687,Day
C41,MOTOR VEHICLE THEFT,42,Day
C44,KIDNAPPING,2,Day
C35,OFFENSE INVOLVING CHILDREN,13,Day
C21,STALKING,1,Day
C43,CRIMINAL TRESPASS,128,Day
C48,ASSAULT,82,Day
C75,STALKING,1,Day
C10,SEX OFFENSE,8,Day
C67,BATTERY,994,Day
C61,LIQUOR LAW VIOLATION,5,Day
C30,DECEPTIVE PRACTICE,110,Day
C24,SEX OFFENSE,15,Day
C50,BURGLARY,36,Day
C4,NARCOTICS,22,Day
C58,STALKING,2,Day
C56,CRIM SEXUAL ASSAULT,3,Day
C46,OTHER OFFENSE,273,Day
C15,ARSON,2,Day
C22,NARCOTICS,34,Day
C23,OFFENSE INVOLVING CHILDREN,62,Day
C62,ASSAULT,34,Day
C44,MOTOR VEHICLE THEFT,145,Day
C53,BURGLARY,148,Day
C23,THEFT,903,Day
C41,BATTERY,132,Day
C54,CONCEALED CARRY LICENSE VIOLATION,1,Day
C12,OTHER OFFENSE,26,Day
C22,PUBLIC PEACE VIOLATION,12,Day
C75,BATTERY,274,Day
C72,CRIMINAL DAMAGE,81,Day
C58,LIQUOR LAW VIOLATION,5,Day
C9,KIDNAPPING,1,Day
C36,CRIM SEXUAL ASSAULT,4,Day
C24,PROSTITUTION,2,Day
C62,NARCOTICS,9,Day
C8,INTIMIDATION,7,Day
C63,OFFENSE INVOLVING CHILDREN,19,Day
C67,WEAPONS VIOLATION,172,Day
C75,HOMICIDE,2,Day
C27,KIDNAPPING,2,Day
C27,WEAPONS VIOLATION,81,Day
C55,BATTERY,75,Day
C42,ASSAULT,263,Day
C46,HUMAN TRAFFICKING,1,Day
C12,ROBBERY,4,Day
C33,OBSCENITY,1,Day
C13,DECEPTIVE PRACTICE,48,Day
C33,BURGLARY,44,Day
C62,PUBLIC PEACE VIOLATION,4,Day
C16,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C26,CRIMINAL TRESPASS,101,Day
C5,THEFT,392,Day
C76,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C38,STALKING,1,Day
C14,GAMBLING,1,Day
C52,CRIMINAL DAMAGE,115,Day
C67,SEX OFFENSE,12,Day
C4,PUBLIC PEACE VIOLATION,5,Day
C26,OTHER OFFENSE,196,Day
C63,THEFT,311,Day
C75,ARSON,1,Day
C16,CRIM SEXUAL ASSAULT,7,Day
C42,NARCOTICS,97,Day
C43,OFFENSE INVOLVING CHILDREN,55,Day
C6,PROSTITUTION,2,Day
C9,SEX OFFENSE,3,Day
C52,ROBBERY,10,Day
C24,MOTOR VEHICLE THEFT,268,Day
C51,CRIMINAL TRESPASS,28,Day
C73,OBSCENITY,2,Day
C53,DECEPTIVE PRACTICE,139,Day
C47,WEAPONS VIOLATION,13,Day
C38,MOTOR VEHICLE THEFT,110,Day
C42,INTERFERENCE WITH PUBLIC OFFICER,16,Day
C55,HOMICIDE,1,Day
C21,BATTERY,205,Day
C35,BATTERY,370,Day
C67,NON-CRIMINAL,1,Day
C71,INTIMIDATION,2,Day
C71,CRIMINAL TRESPASS,169,Day
C27,SEX OFFENSE,7,Day
C66,OTHER OFFENSE,349,Day
C8,CRIMINAL TRESPASS,241,Day
C56,INTERFERENCE WITH PUBLIC OFFICER,2,Day
C4,ASSAULT,88,Day
C35,HOMICIDE,1,Day
C4,INTERFERENCE WITH PUBLIC OFFICER,3,Day
C72,KIDNAPPING,1,Day
C64,MOTOR VEHICLE THEFT,21,Day
C8,OTHER OFFENSE,238,Day
C73,BURGLARY,138,Day
C43,THEFT,999,Day
C55,ARSON,1,Day
C61,BATTERY,672,Day
C72,ROBBERY,14,Day
C32,CRIMINAL DAMAGE,273,Day
C58,MOTOR VEHICLE THEFT,53,Day
C22,ASSAULT,216,Day
C32,ROBBERY,206,Day
C33,DECEPTIVE PRACTICE,211,Day
C22,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C13,BURGLARY,49,Day
C42,PUBLIC PEACE VIOLATION,21,Day
C73,DECEPTIVE PRACTICE,130,Day
C6,MOTOR VEHICLE THEFT,154,Day
C67,BURGLARY,244,Day
C3,BATTERY,442,Day
C19,INTERFERENCE WITH PUBLIC OFFICER,6,Day
C39,PUBLIC PEACE VIOLATION,4,Day
C75,WEAPONS VIOLATION,29,Day
C35,KIDNAPPING,2,Day
C27,PROSTITUTION,8,Day
C65,NARCOTICS,41,Day
C35,WEAPONS VIOLATION,14,Day
C66,OFFENSE INVOLVING CHILDREN,37,Day
C35,ROBBERY,111,Day
C25,NARCOTICS,1182,Day
C41,BURGLARY,75,Day
C66,THEFT,652,Day
C10,CRIM SEXUAL ASSAULT,3,Day
C34,CRIMINAL TRESPASS,42,Day
C55,CRIMINAL DAMAGE,62,Day
C58,BATTERY,255,Day
C72,STALKING,1,Day
C70,CRIM SEXUAL ASSAULT,7,Day
C21,SEX OFFENSE,7,Day
C65,PUBLIC PEACE VIOLATION,10,Day
C75,SEX OFFENSE,5,Day
C30,CRIM SEXUAL ASSAULT,14,Day
C60,OTHER OFFENSE,87,Day
C19,CRIM SEXUAL ASSAULT,7,Day
C46,OFFENSE INVOLVING CHILDREN,46,Day
C49,OTHER OFFENSE,466,Day
C61,WEAPONS VIOLATION,93,Day
C7,PUBLIC PEACE VIOLATION,10,Day
C58,HOMICIDE,7,Day
C2,OTHER OFFENSE,177,Day
C32,MOTOR VEHICLE THEFT,107,Day
C15,KIDNAPPING,3,Day
C3,KIDNAPPING,1,Day
C61,NON-CRIMINAL,2,Day
C74,CRIMINAL TRESPASS,17,Day
C45,NARCOTICS,11,Day
C3,WEAPONS VIOLATION,13,Day
C9,PROSTITUTION,1,Day
C15,ROBBERY,45,Day
C55,ROBBERY,9,Day
C14,INTIMIDATION,1,Day
C59,ASSAULT,57,Day
C72,LIQUOR LAW VIOLATION,1,Day
C59,INTERFERENCE WITH PUBLIC OFFICER,4,Day
C14,CRIMINAL TRESPASS,27,Day
C38,BATTERY,479,Day
C74,INTIMIDATION,1,Day
C50,CRIM SEXUAL ASSAULT,3,Day
C21,WEAPONS VIOLATION,7,Day
C45,PUBLIC PEACE VIOLATION,10,Day
C3,SEX OFFENSE,16,Day
C46,THEFT,483,Day
C3,BURGLARY,106,Day
C69,OTHER OFFENSE,342,Day
C39,CRIM SEXUAL ASSAULT,5,Day
C72,MOTOR VEHICLE THEFT,33,Day
C59,CRIM SEXUAL ASSAULT,2,Day
C41,WEAPONS VIOLATION,2,Day
C38,HOMICIDE,4,Day
C59,NARCOTICS,15,Day
C32,LIQUOR LAW VIOLATION,8,Day
C12,MOTOR VEHICLE THEFT,11,Day
C41,DECEPTIVE PRACTICE,124,Day
C61,SEX OFFENSE,10,Day
