Community,LocationDay,FrequencyDay
C14,CTA GARAGE / OTHER PROPERTY,2
C14,BAR OR TAVERN,2
C14,GOVERNMENT BUILDING/PROPERTY,2
C14,MEDICAL/DENTAL OFFICE,2
C14,CTA PLATFORM,2
C14,COIN OPERATED MACHINE,2
C14,DRIVEWAY - RESIDENTIAL,2
C14,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C14,AUTO,1
C14,PAWN SHOP,1
C14,APPLIANCE STORE,1
C14,VACANT LOT/LAND,1
C14,DRUG STORE,1
C14,FOREST PRESERVE,1
C14,VEHICLE - DELIVERY TRUCK,1
C14,VEHICLE - OTHER RIDE SERVICE,1
C14,HOSPITAL BUILDING/GROUNDS,1
C14,DAY CARE CENTER,1
C14,CLEANING STORE,1
C14,CREDIT UNION,1
C15,RESIDENCE,551
C15,STREET,479
C15,APARTMENT,179
C15,GROCERY FOOD STORE,111
C15,RESIDENCE-GARAGE,89
C15,SIDEWALK,82
C15,OTHER,73
C15,SMALL RETAIL STORE,71
C15,PARKING LOT/GARAGE(NON.RESID.),67
C15,"SCHOOL, PUBLIC, BUILDING",61
C15,RESIDENTIAL YARD (FRONT/BACK),56
C15,DEPARTMENT STORE,55
C15,RESIDENCE PORCH/HALLWAY,54
C15,ALLEY,34
C15,RESTAURANT,29
C15,VEHICLE NON-COMMERCIAL,27
C15,HOSPITAL BUILDING/GROUNDS,20
C15,COMMERCIAL / BUSINESS OFFICE,18
C15,"SCHOOL, PUBLIC, GROUNDS",16
C15,BANK,16
C15,CONVENIENCE STORE,14
C15,DRIVEWAY - RESIDENTIAL,13
C15,PARK PROPERTY,13
C15,"SCHOOL, PRIVATE, BUILDING",10
C15,MEDICAL/DENTAL OFFICE,9
C15,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,9
C15,HOTEL/MOTEL,9
C15,GAS STATION,7
C15,ATHLETIC CLUB,7
C15,CTA BUS STOP,6
C15,DRUG STORE,6
C15,ATM (AUTOMATIC TELLER MACHINE),5
C15,BAR OR TAVERN,4
C15,WAREHOUSE,4
C15,TAVERN/LIQUOR STORE,4
C15,CTA BUS,4
C15,VACANT LOT/LAND,3
C15,LIBRARY,3
C15,DAY CARE CENTER,3
C15,"SCHOOL, PRIVATE, GROUNDS",3
C15,CURRENCY EXCHANGE,3
C15,CONSTRUCTION SITE,3
C15,FIRE STATION,3
C15,BARBERSHOP,3
C15,VEHICLE-COMMERCIAL,3
C15,NURSING HOME/RETIREMENT HOME,2
C15,TAXICAB,2
C15,GOVERNMENT BUILDING/PROPERTY,1
C15,CTA STATION,1
C15,CAR WASH,1
C15,MOVIE HOUSE/THEATER,1
C15,SPORTS ARENA/STADIUM,1
C15,VEHICLE - OTHER RIDE SERVICE,1
C15,COIN OPERATED MACHINE,1
C15,CLEANING STORE,1
C15,CTA TRAIN,1
C15,PAWN SHOP,1
C16,STREET,470
C16,RESIDENCE,355
C16,APARTMENT,263
C16,OTHER,118
C16,SIDEWALK,99
C16,RESIDENCE-GARAGE,65
C16,SMALL RETAIL STORE,57
C16,VEHICLE NON-COMMERCIAL,56
C16,PARKING LOT/GARAGE(NON.RESID.),52
C16,"SCHOOL, PUBLIC, BUILDING",51
C16,RESIDENCE PORCH/HALLWAY,41
C16,ALLEY,39
C16,RESIDENTIAL YARD (FRONT/BACK),32
C16,RESTAURANT,28
C16,CONVENIENCE STORE,21
C16,PARK PROPERTY,20
C16,DRUG STORE,17
C16,CTA TRAIN,15
C16,CTA BUS,13
C16,GROCERY FOOD STORE,13
C16,GAS STATION,12
C16,NURSING HOME/RETIREMENT HOME,12
C16,DEPARTMENT STORE,11
C16,DRIVEWAY - RESIDENTIAL,10
C16,COMMERCIAL / BUSINESS OFFICE,10
C16,"SCHOOL, PUBLIC, GROUNDS",10
C16,ATM (AUTOMATIC TELLER MACHINE),7
C16,CAR WASH,7
C16,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6
C16,CURRENCY EXCHANGE,6
C16,CTA STATION,6
C16,BAR OR TAVERN,6
C16,BANK,5
C16,CTA PLATFORM,5
C16,DAY CARE CENTER,4
C16,CONSTRUCTION SITE,4
C16,TAXICAB,4
C16,VEHICLE-COMMERCIAL,4
C16,CTA BUS STOP,3
C16,"SCHOOL, PRIVATE, GROUNDS",2
C16,CLEANING STORE,2
C16,WAREHOUSE,2
C16,OTHER COMMERCIAL TRANSPORTATION,2
C16,SPORTS ARENA/STADIUM,2
C16,MEDICAL/DENTAL OFFICE,2
C16,FACTORY/MANUFACTURING BUILDING,2
C16,ATHLETIC CLUB,2
C16,ABANDONED BUILDING,1
C16,HIGHWAY/EXPRESSWAY,1
C16,POOL ROOM,1
C16,BARBERSHOP,1
C16,PAWN SHOP,1
C16,VACANT LOT/LAND,1
C16,FEDERAL BUILDING,1
C16,HOSPITAL BUILDING/GROUNDS,1
C17,RESIDENCE,344
C17,STREET,191
C17,APARTMENT,72
C17,RESIDENTIAL YARD (FRONT/BACK),46
C17,SIDEWALK,46
C17,RESIDENCE-GARAGE,42
C17,OTHER,42
C17,PARKING LOT/GARAGE(NON.RESID.),26
C17,SMALL RETAIL STORE,25
C17,"SCHOOL, PUBLIC, BUILDING",24
C17,ALLEY,24
C17,RESIDENCE PORCH/HALLWAY,23
C17,PARK PROPERTY,13
C17,"SCHOOL, PUBLIC, GROUNDS",11
C17,RESTAURANT,9
C17,VEHICLE NON-COMMERCIAL,8
C17,DEPARTMENT STORE,6
C17,HOSPITAL BUILDING/GROUNDS,6
C17,COMMERCIAL / BUSINESS OFFICE,5
C17,DRIVEWAY - RESIDENTIAL,5
C17,GROCERY FOOD STORE,4
C17,BAR OR TAVERN,3
C17,CONVENIENCE STORE,3
C17,NURSING HOME/RETIREMENT HOME,3
C17,GAS STATION,3
C17,LIBRARY,3
C17,BANK,3
C17,CTA BUS,3
C17,TAVERN/LIQUOR STORE,3
C17,ATM (AUTOMATIC TELLER MACHINE),2
C17,"SCHOOL, PRIVATE, BUILDING",2
C17,COLLEGE/UNIVERSITY GROUNDS,2
C17,BARBERSHOP,2
C17,CEMETARY,2
C17,"SCHOOL, PRIVATE, GROUNDS",2
C17,DAY CARE CENTER,2
C17,WAREHOUSE,1
C17,CONSTRUCTION SITE,1
C17,POLICE FACILITY/VEH PARKING LOT,1
C17,COLLEGE/UNIVERSITY RESIDENCE HALL,1
C17,MEDICAL/DENTAL OFFICE,1
C17,VACANT LOT/LAND,1
C17,FOREST PRESERVE,1
C17,CURRENCY EXCHANGE,1
C17,ABANDONED BUILDING,1
C18,RESIDENCE,139
C18,STREET,62
C18,APARTMENT,53
C18,PARKING LOT/GARAGE(NON.RESID.),20
C18,OTHER,17
C18,RESIDENCE-GARAGE,14
C18,SMALL RETAIL STORE,13
C18,SIDEWALK,12
C18,RESIDENTIAL YARD (FRONT/BACK),11
C18,DEPARTMENT STORE,9
C18,RESIDENCE PORCH/HALLWAY,8
C18,ALLEY,5
C18,NURSING HOME/RETIREMENT HOME,4
C18,RESTAURANT,3
C18,"SCHOOL, PUBLIC, BUILDING",3
C18,PARK PROPERTY,3
C18,BANK,2
C18,OTHER RAILROAD PROP / TRAIN DEPOT,2
C18,CTA BUS,2
C18,CONVENIENCE STORE,2
C18,VACANT LOT/LAND,2
C18,MEDICAL/DENTAL OFFICE,1
C18,CTA BUS STOP,1
C18,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C18,WAREHOUSE,1
C18,VEHICLE NON-COMMERCIAL,1
C18,APPLIANCE STORE,1
C18,GROCERY FOOD STORE,1
C19,RESIDENCE,703
C19,STREET,656
C19,APARTMENT,352
C19,PARKING LOT/GARAGE(NON.RESID.),147
C19,SIDEWALK,139
C19,OTHER,119
C19,DEPARTMENT STORE,102
C19,SMALL RETAIL STORE,91
C19,RESIDENCE-GARAGE,84
C19,ALLEY,66
C19,"SCHOOL, PUBLIC, BUILDING",65
C19,RESIDENTIAL YARD (FRONT/BACK),63
C19,RESTAURANT,59
C19,GROCERY FOOD STORE,47
C19,RESIDENCE PORCH/HALLWAY,40
C19,VEHICLE NON-COMMERCIAL,38
C19,NURSING HOME/RETIREMENT HOME,24
C19,POLICE FACILITY/VEH PARKING LOT,21
C19,GAS STATION,20
C19,PARK PROPERTY,19
C19,COMMERCIAL / BUSINESS OFFICE,19
C19,DRUG STORE,18
C19,CONVENIENCE STORE,16
C19,"SCHOOL, PUBLIC, GROUNDS",16
C19,BANK,16
C19,CURRENCY EXCHANGE,15
C19,GOVERNMENT BUILDING/PROPERTY,11
C19,DRIVEWAY - RESIDENTIAL,10
C19,VACANT LOT/LAND,9
C19,FACTORY/MANUFACTURING BUILDING,8
C19,ATHLETIC CLUB,8
C19,CTA BUS,7
C19,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7
C19,CTA BUS STOP,6
C19,ATM (AUTOMATIC TELLER MACHINE),5
C19,WAREHOUSE,5
C19,"SCHOOL, PRIVATE, BUILDING",4
C19,JAIL / LOCK-UP FACILITY,3
C19,TAXICAB,3
C19,BAR OR TAVERN,3
C19,MEDICAL/DENTAL OFFICE,3
C19,ABANDONED BUILDING,2
C19,TAVERN/LIQUOR STORE,2
C19,BARBERSHOP,2
C19,VEHICLE-COMMERCIAL,2
C19,SPORTS ARENA/STADIUM,2
C19,OTHER COMMERCIAL TRANSPORTATION,2
C19,DAY CARE CENTER,2
C19,"SCHOOL, PRIVATE, GROUNDS",1
C19,AUTO,1
C19,COIN OPERATED MACHINE,1
C19,CLEANING STORE,1
C19,CONSTRUCTION SITE,1
C19,CHA PARKING LOT/GROUNDS,1
C19,APPLIANCE STORE,1
C19,POOL ROOM,1
C19,VACANT LOT,1
C19,CAR WASH,1
C19,CTA PLATFORM,1
C19,VEHICLE - OTHER RIDE SERVICE,1
C19,SAVINGS AND LOAN,1
C19,ANIMAL HOSPITAL,1
C2,STREET,531
C2,APARTMENT,450
C2,RESIDENCE,326
C2,OTHER,155
C2,SIDEWALK,100
C2,RESIDENCE PORCH/HALLWAY,91
C2,PARKING LOT/GARAGE(NON.RESID.),80
C2,RESIDENCE-GARAGE,65
C2,SMALL RETAIL STORE,60
C2,ALLEY,58
C2,RESIDENTIAL YARD (FRONT/BACK),58
C2,"SCHOOL, PUBLIC, BUILDING",38
C2,RESTAURANT,36
C2,DEPARTMENT STORE,35
C2,VEHICLE NON-COMMERCIAL,33
C2,NURSING HOME/RETIREMENT HOME,25
C2,PARK PROPERTY,24
C2,DRUG STORE,22
C2,"SCHOOL, PUBLIC, GROUNDS",21
C2,GROCERY FOOD STORE,17
C2,BANK,14
C2,ATM (AUTOMATIC TELLER MACHINE),13
C2,"SCHOOL, PRIVATE, BUILDING",13
C2,COMMERCIAL / BUSINESS OFFICE,12
C2,CURRENCY EXCHANGE,12
C2,CONVENIENCE STORE,11
C2,DRIVEWAY - RESIDENTIAL,10
C2,GAS STATION,9
C2,LIBRARY,7
C2,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6
C2,DAY CARE CENTER,5
C2,HOTEL/MOTEL,5
C2,BARBERSHOP,5
C2,TAXICAB,4
C2,CTA BUS STOP,4
C2,"SCHOOL, PRIVATE, GROUNDS",4
C2,CONSTRUCTION SITE,4
C2,CTA BUS,4
C2,MEDICAL/DENTAL OFFICE,3
C2,CAR WASH,2
C2,SPORTS ARENA/STADIUM,2
C2,ATHLETIC CLUB,2
C2,CHA HALLWAY/STAIRWELL/ELEVATOR,2
C2,CLEANING STORE,2
C2,TAVERN/LIQUOR STORE,2
C2,OTHER COMMERCIAL TRANSPORTATION,1
C2,BAR OR TAVERN,1
C2,VACANT LOT/LAND,1
C2,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
C2,HOSPITAL BUILDING/GROUNDS,1
C2,ROOMING HOUSE,1
C2,COIN OPERATED MACHINE,1
C2,WAREHOUSE,1
C2,APPLIANCE STORE,1
C2,PAWN SHOP,1
C20,STREET,250
C20,RESIDENCE,236
C20,APARTMENT,124
C20,SIDEWALK,63
C20,DEPARTMENT STORE,43
C20,RESIDENCE-GARAGE,38
C20,OTHER,36
C20,RESIDENTIAL YARD (FRONT/BACK),35
C20,ALLEY,32
C20,PARKING LOT/GARAGE(NON.RESID.),30
C20,VEHICLE NON-COMMERCIAL,28
C20,SMALL RETAIL STORE,25
C20,"SCHOOL, PUBLIC, BUILDING",17
C20,GROCERY FOOD STORE,12
C20,RESIDENCE PORCH/HALLWAY,12
C20,RESTAURANT,11
C20,COMMERCIAL / BUSINESS OFFICE,8
C20,CONVENIENCE STORE,7
C20,"SCHOOL, PUBLIC, GROUNDS",5
C20,GAS STATION,5
C20,CURRENCY EXCHANGE,5
C20,PARK PROPERTY,4
C20,WAREHOUSE,4
C20,DRIVEWAY - RESIDENTIAL,3
C20,DAY CARE CENTER,3
C20,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C20,CTA BUS,1
C20,CONSTRUCTION SITE,1
C20,AIRPORT VENDING ESTABLISHMENT,1
C20,CHA PARKING LOT/GROUNDS,1
C20,"SCHOOL, PRIVATE, BUILDING",1
C20,BAR OR TAVERN,1
C20,GOVERNMENT BUILDING/PROPERTY,1
C20,SPORTS ARENA/STADIUM,1
C20,VACANT LOT/LAND,1
C20,NURSING HOME/RETIREMENT HOME,1
C20,MEDICAL/DENTAL OFFICE,1
C20,CHA APARTMENT,1
C21,STREET,309
C21,RESIDENCE,258
C21,APARTMENT,201
C21,OTHER,89
C21,SMALL RETAIL STORE,73
C21,SIDEWALK,71
C21,PARKING LOT/GARAGE(NON.RESID.),68
C21,DEPARTMENT STORE,65
C21,RESIDENCE-GARAGE,44
C21,GROCERY FOOD STORE,32
C21,ALLEY,31
C21,RESIDENCE PORCH/HALLWAY,28
C21,VEHICLE NON-COMMERCIAL,26
C21,RESTAURANT,22
C21,BANK,21
C21,"SCHOOL, PUBLIC, BUILDING",20
C21,RESIDENTIAL YARD (FRONT/BACK),20
C21,DRUG STORE,17
C21,ATHLETIC CLUB,12
C21,CTA BUS,11
C21,GAS STATION,10
C21,CONVENIENCE STORE,9
C21,CTA TRAIN,9
C21,COMMERCIAL / BUSINESS OFFICE,8
C21,TAVERN/LIQUOR STORE,8
C21,ATM (AUTOMATIC TELLER MACHINE),7
C21,WAREHOUSE,7
C21,APPLIANCE STORE,5
C21,CTA BUS STOP,5
C21,"SCHOOL, PUBLIC, GROUNDS",5
C21,CTA STATION,4
C21,CURRENCY EXCHANGE,4
C21,PARK PROPERTY,3
C21,"SCHOOL, PRIVATE, BUILDING",3
C21,NURSING HOME/RETIREMENT HOME,2
C21,TAXICAB,2
C21,CTA PLATFORM,2
C21,VEHICLE - OTHER RIDE SERVICE,2
C21,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C21,DRIVEWAY - RESIDENTIAL,2
C21,CONSTRUCTION SITE,2
C21,BARBERSHOP,1
C21,VACANT LOT/LAND,1
C21,OTHER COMMERCIAL TRANSPORTATION,1
C21,BAR OR TAVERN,1
C21,VEHICLE-COMMERCIAL,1
C21,SPORTS ARENA/STADIUM,1
C21,GOVERNMENT BUILDING/PROPERTY,1
C21,CAR WASH,1
C21,HOUSE,1
C21,SAVINGS AND LOAN,1
C21,MOVIE HOUSE/THEATER,1
C21,"SCHOOL, PRIVATE, GROUNDS",1
C21,CHA APARTMENT,1
C21,ANIMAL HOSPITAL,1
C21,DAY CARE CENTER,1
C21,COIN OPERATED MACHINE,1
C21,CHA PARKING LOT/GROUNDS,1
C21,AUTO / BOAT / RV DEALERSHIP,1
C22,STREET,801
C22,RESIDENCE,391
C22,APARTMENT,389
C22,OTHER,230
C22,SIDEWALK,166
C22,PARKING LOT/GARAGE(NON.RESID.),162
C22,SMALL RETAIL STORE,134
C22,RESIDENCE PORCH/HALLWAY,106
C22,DEPARTMENT STORE,99
C22,RESIDENCE-GARAGE,92
C22,ALLEY,68
C22,RESTAURANT,59
C22,RESIDENTIAL YARD (FRONT/BACK),58
C22,VEHICLE NON-COMMERCIAL,58
C22,GROCERY FOOD STORE,45
C22,DRUG STORE,32
C22,COMMERCIAL / BUSINESS OFFICE,29
C22,ATHLETIC CLUB,26
C22,CONVENIENCE STORE,24
C22,"SCHOOL, PUBLIC, BUILDING",23
C22,PARK PROPERTY,22
C22,CTA TRAIN,21
C22,"SCHOOL, PUBLIC, GROUNDS",20
C22,CTA STATION,17
C22,BAR OR TAVERN,16
C22,GAS STATION,15
C22,BANK,14
C22,CTA PLATFORM,12
C22,CHA APARTMENT,11
C22,CONSTRUCTION SITE,11
C22,DRIVEWAY - RESIDENTIAL,10
C22,CTA BUS,10
C22,NURSING HOME/RETIREMENT HOME,10
C22,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7
C22,WAREHOUSE,7
C22,"SCHOOL, PRIVATE, BUILDING",7
C22,DAY CARE CENTER,5
C22,MOVIE HOUSE/THEATER,5
C22,ATM (AUTOMATIC TELLER MACHINE),4
C22,TAVERN/LIQUOR STORE,4
C22,POLICE FACILITY/VEH PARKING LOT,4
C22,PAWN SHOP,4
C22,SPORTS ARENA/STADIUM,4
C22,CTA BUS STOP,3
C22,OTHER RAILROAD PROP / TRAIN DEPOT,3
C22,GOVERNMENT BUILDING/PROPERTY,3
