Community,Location,Frequency,Period
C61,OTHER COMMERCIAL TRANSPORTATION,4,Day
C33,GOVERNMENT BUILDING/PROPERTY,8,Day
C75,NURSING HOME/RETIREMENT HOME,19,Day
C21,"SCHOOL, PRIVATE, GROUNDS",1,Day
C1,STREET,546,Day
C17,BANK,3,Day
C64,PARKING LOT/GARAGE(NON.RESID.),27,Day
C16,CONSTRUCTION SITE,4,Day
C52,RESIDENTIAL YARD (FRONT/BACK),25,Day
C26,GAS STATION,95,Day
C29,NURSING HOME,1,Day
C66,ATHLETIC CLUB,1,Day
C21,TAXICAB,2,Day
C2,SMALL RETAIL STORE,60,Day
C15,VEHICLE NON-COMMERCIAL,27,Day
C29,SMALL RETAIL STORE,64,Day
C29,VEHICLE NON-COMMERCIAL,106,Day
C49,DEPARTMENT STORE,13,Day
C24,PARKING LOT/GARAGE(NON.RESID.),161,Day
C63,AUTO,1,Day
C64,SIDEWALK,19,Day
C60,WAREHOUSE,7,Day
C51,OTHER RAILROAD PROP / TRAIN DEPOT,1,Day
C6,DRUG STORE,75,Day
C44,RESIDENCE PORCH/HALLWAY,57,Day
C51,ALLEY,9,Day
C41,"SCHOOL, PRIVATE, GROUNDS",2,Day
C43,MEDICAL/DENTAL OFFICE,1,Day
C35,OTHER,98,Day
C31,FIRE STATION,1,Day
C56,AIRPORT/AIRCRAFT,12,Day
C72,RESIDENTIAL YARD (FRONT/BACK),29,Day
C71,ATM (AUTOMATIC TELLER MACHINE),1,Day
C41,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Day
C54,"SCHOOL, PUBLIC, GROUNDS",12,Day
C43,SPORTS ARENA/STADIUM,2,Day
C8,ATHLETIC CLUB,37,Day
C69,WAREHOUSE,2,Day
C66,TAVERN/LIQUOR STORE,5,Day
C67,HIGHWAY/EXPRESSWAY,1,Day
C60,SMALL RETAIL STORE,30,Day
C40,VEHICLE - OTHER RIDE SERVICE,1,Day
C45,OTHER RAILROAD PROP / TRAIN DEPOT,2,Day
C69,LIBRARY,1,Day
C75,APARTMENT,40,Day
C2,LIBRARY,7,Day
C24,DRUG STORE,47,Day
C48,HOTEL/MOTEL,2,Day
C61,RESTAURANT,23,Day
C55,OTHER,22,Day
C58,CTA BUS,2,Day
C27,JAIL / LOCK-UP FACILITY,1,Day
C11,ATM (AUTOMATIC TELLER MACHINE),2,Day
C25,CTA GARAGE / OTHER PROPERTY,3,Day
C75,PARK PROPERTY,12,Day
C21,OTHER COMMERCIAL TRANSPORTATION,1,Day
C52,VEHICLE-COMMERCIAL,1,Day
C77,CTA PLATFORM,11,Day
C49,DRIVEWAY - RESIDENTIAL,18,Day
C72,COMMERCIAL / BUSINESS OFFICE,12,Day
C60,CHA APARTMENT,4,Day
C43,BANK,12,Day
C47,VACANT LOT/LAND,2,Day
C48,"SCHOOL, PUBLIC, GROUNDS",3,Day
C34,BARBERSHOP,1,Day
C24,CLEANING STORE,3,Day
C74,DEPARTMENT STORE,1,Day
C16,RESTAURANT,28,Day
C32,BRIDGE,5,Day
C56,CONSTRUCTION SITE,1,Day
C15,APARTMENT,179,Day
C69,SMALL RETAIL STORE,75,Day
C3,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Day
C22,CTA STATION,17,Day
C15,PARK PROPERTY,13,Day
C41,NURSING HOME/RETIREMENT HOME,6,Day
C45,"SCHOOL, PRIVATE, BUILDING",2,Day
C11,ALLEY,11,Day
C5,ABANDONED BUILDING,1,Day
C53,GOVERNMENT BUILDING/PROPERTY,4,Day
C69,CHA APARTMENT,4,Day
C44,PARKING LOT/GARAGE(NON.RESID.),248,Day
C1,COIN OPERATED MACHINE,1,Day
C32,RESIDENTIAL YARD (FRONT/BACK),5,Day
C16,CURRENCY EXCHANGE,6,Day
C33,RESIDENCE,152,Day
C8,GAS STATION,55,Day
C31,OTHER RAILROAD PROP / TRAIN DEPOT,2,Day
C55,FOREST PRESERVE,1,Day
C67,"SCHOOL, PUBLIC, BUILDING",55,Day
C22,FACTORY/MANUFACTURING BUILDING,2,Day
C71,OTHER RAILROAD PROP / TRAIN DEPOT,1,Day
C51,FIRE STATION,1,Day
C65,"SCHOOL, PRIVATE, BUILDING",2,Day
C31,ALLEY,36,Day
C45,GROCERY FOOD STORE,7,Day
C53,RESIDENCE,1008,Day
C69,VEHICLE NON-COMMERCIAL,81,Day
C15,OTHER,73,Day
C74,DRIVEWAY - RESIDENTIAL,5,Day
C32,NEWSSTAND,1,Day
C25,ANIMAL HOSPITAL,1,Day
C6,SIDEWALK,184,Day
C29,WAREHOUSE,4,Day
C67,JAIL / LOCK-UP FACILITY,2,Day
C51,ATM (AUTOMATIC TELLER MACHINE),1,Day
C38,DRUG STORE,3,Day
C65,GROCERY FOOD STORE,5,Day
C29,VEHICLE - OTHER RIDE SERVICE,2,Day
C69,OTHER,114,Day
C74,"SCHOOL, PUBLIC, GROUNDS",6,Day
C7,CTA TRAIN,29,Day
C30,CHA PARKING LOT/GROUNDS,4,Day
C32,TAVERN/LIQUOR STORE,9,Day
C49,WAREHOUSE,2,Day
C62,CONVENIENCE STORE,5,Day
C46,TAVERN/LIQUOR STORE,5,Day
C9,"SCHOOL, PUBLIC, BUILDING",1,Day
C40,SMALL RETAIL STORE,37,Day
C10,RESIDENCE-GARAGE,15,Day
C37,CTA PLATFORM,11,Day
C72,VEHICLE-COMMERCIAL,1,Day
C55,APARTMENT,18,Day
C10,PARKING LOT/GARAGE(NON.RESID.),18,Day
C7,"SCHOOL, PRIVATE, BUILDING",11,Day
C41,RESTAURANT,46,Day
C60,DEPARTMENT STORE,1,Day
C61,TAXICAB,2,Day
C62,CTA STATION,19,Day
C38,CTA BUS,19,Day
C43,ABANDONED BUILDING,4,Day
C77,BANK,10,Day
C8,FIRE STATION,1,Day
C30,GARAGE,1,Day
C70,RESIDENCE-GARAGE,61,Day
C52,COMMERCIAL / BUSINESS OFFICE,2,Day
C23,BANK,19,Day
C24,SIDEWALK,242,Day
C71,GAS STATION,161,Day
C29,CHA APARTMENT,6,Day
C22,CONSTRUCTION SITE,11,Day
C14,BARBERSHOP,3,Day
C39,CHA PARKING LOT/GROUNDS,1,Day
C49,COLLEGE/UNIVERSITY GROUNDS,1,Day
C5,SPORTS ARENA/STADIUM,2,Day
C42,BAR OR TAVERN,1,Day
C30,RESIDENCE-GARAGE,32,Day
C25,CTA TRAIN,17,Day
C4,CONVENIENCE STORE,9,Day
C35,VEHICLE NON-COMMERCIAL,18,Day
C49,SMALL RETAIL STORE,103,Day
C56,CURRENCY EXCHANGE,4,Day
C19,RESIDENCE-GARAGE,84,Day
C52,BRIDGE,1,Day
C76,CONSTRUCTION SITE,1,Day
C13,CEMETARY,5,Day
C46,ATHLETIC CLUB,2,Day
C27,"SCHOOL, PUBLIC, BUILDING",128,Day
C2,DEPARTMENT STORE,35,Day
C21,NURSING HOME/RETIREMENT HOME,2,Day
C4,CTA STATION,4,Day
C35,DAY CARE CENTER,1,Day
C25,"SCHOOL, PRIVATE, BUILDING",15,Day
C23,POLICE FACILITY/VEH PARKING LOT,1,Day
C1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3,Day
C49,CHA APARTMENT,8,Day
C23,MEDICAL/DENTAL OFFICE,7,Day
C22,APPLIANCE STORE,2,Day
C43,VEHICLE - DELIVERY TRUCK,1,Day
C65,ANIMAL HOSPITAL,1,Day
C12,RESIDENTIAL YARD (FRONT/BACK),11,Day
C8,TAVERN/LIQUOR STORE,14,Day
C60,DRIVEWAY - RESIDENTIAL,1,Day
C13,RESIDENCE,106,Day
C23,SPORTS ARENA/STADIUM,4,Day
C34,"SCHOOL, PUBLIC, GROUNDS",3,Day
C20,WAREHOUSE,4,Day
C47,"SCHOOL, PUBLIC, BUILDING",9,Day
C73,HIGHWAY/EXPRESSWAY,2,Day
C25,GROCERY FOOD STORE,73,Day
C49,VEHICLE - OTHER RIDE SERVICE,3,Day
C56,FACTORY/MANUFACTURING BUILDING,1,Day
C6,RESIDENCE PORCH/HALLWAY,113,Day
C49,LIBRARY,4,Day
C73,RESIDENCE,730,Day
C20,DEPARTMENT STORE,43,Day
C56,AIRPORT EXTERIOR - SECURE AREA,4,Day
C22,CONVENIENCE STORE,24,Day
C31,ATM (AUTOMATIC TELLER MACHINE),3,Day
C48,CTA BUS STOP,3,Day
C73,STREET,462,Day
C4,BAR OR TAVERN,13,Day
C43,HOUSE,1,Day
C7,ANIMAL HOSPITAL,4,Day
C55,PARK PROPERTY,7,Day
C58,DRUG STORE,11,Day
C35,COLLEGE/UNIVERSITY GROUNDS,11,Day
C32,VEHICLE-COMMERCIAL,14,Day
C12,COMMERCIAL / BUSINESS OFFICE,4,Day
C16,POOL ROOM,1,Day
C2,DRIVEWAY - RESIDENTIAL,10,Day
C30,CLEANING STORE,1,Day
C27,VACANT LOT/LAND,41,Day
C26,TAVERN/LIQUOR STORE,8,Day
C33,STREET,243,Day
C42,CONVENIENCE STORE,15,Day
C20,SMALL RETAIL STORE,25,Day
C36,CONSTRUCTION SITE,1,Day
C26,PARKING LOT,1,Day
C46,GAS STATION,12,Day
C40,DEPARTMENT STORE,1,Day
C41,TAXICAB,2,Day
C18,CTA BUS,2,Day
C42,CTA STATION,2,Day
C29,DEPARTMENT STORE,10,Day
C49,COMMERCIAL / BUSINESS OFFICE,25,Day
C19,CONSTRUCTION SITE,1,Day
C43,VEHICLE - OTHER RIDE SERVICE,1,Day
C69,YARD,1,Day
C24,TAXICAB,7,Day
C5,SMALL RETAIL STORE,39,Day
C38,NURSING HOME/RETIREMENT HOME,9,Day
C4,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,Day
C6,RESTAURANT,123,Day
C71,PAWN SHOP,1,Day
C25,CAR WASH,8,Day
C15,RESIDENTIAL YARD (FRONT/BACK),56,Day
C14,ATM (AUTOMATIC TELLER MACHINE),5,Day
C28,GROCERY FOOD STORE,205,Day
C63,LIBRARY,1,Day
C59,FACTORY/MANUFACTURING BUILDING,3,Day
C12,CTA BUS,2,Day
C77,LIBRARY,8,Day
C32,DRUG STORE,103,Day
C21,MOVIE HOUSE/THEATER,1,Day
C37,BARBERSHOP,1,Day
C63,OTHER,78,Day
C66,CTA BUS,12,Day
C72,DRUG STORE,11,Day
C19,APPLIANCE STORE,1,Day
C7,BAR OR TAVERN,14,Day
C74,ATM (AUTOMATIC TELLER MACHINE),1,Day
C14,HOSPITAL BUILDING/GROUNDS,1,Day
C18,APARTMENT,53,Day
C17,DRIVEWAY - RESIDENTIAL,5,Day
C9,RESIDENCE PORCH/HALLWAY,2,Day
C4,HOTEL/MOTEL,5,Day
C57,DRIVEWAY - RESIDENTIAL,2,Day
C3,"SCHOOL, PUBLIC, BUILDING",20,Day
C36,STREET,117,Day
C51,BANK,11,Day
C18,PARK PROPERTY,3,Day
C76,STREET,44,Day
C69,TAVERN/LIQUOR STORE,5,Day
C1,"SCHOOL, PRIVATE, BUILDING",9,Day
C50,CONSTRUCTION SITE,3,Day
C48,GROCERY FOOD STORE,6,Day
C63,SMALL RETAIL STORE,47,Day
C22,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7,Day
C24,RESTAURANT,141,Day
C19,POOL ROOM,1,Day
C71,BANK,10,Day
C54,CHA PARKING LOT,3,Day
C45,CONVENIENCE STORE,8,Day
C16,CTA BUS STOP,3,Day
C66,ABANDONED BUILDING,10,Day
C23,SMALL RETAIL STORE,108,Day
C4,CTA BUS STOP,2,Day
C28,CTA GARAGE / OTHER PROPERTY,5,Day
C5,OTHER,69,Day
C35,COMMERCIAL / BUSINESS OFFICE,12,Day
C76,GOVERNMENT BUILDING/PROPERTY,92,Day
C47,SIDEWALK,15,Day
C26,ABANDONED BUILDING,24,Day
C27,CLEANING STORE,2,Day
C40,ATHLETIC CLUB,1,Day
C34,ALLEY,8,Day
C42,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4,Day
C29,ATHLETIC CLUB,4,Day
C22,HOTEL/MOTEL,2,Day
C21,"SCHOOL, PUBLIC, BUILDING",20,Day
C2,GAS STATION,9,Day
C26,MEDICAL/DENTAL OFFICE,4,Day
C61,"SCHOOL, PUBLIC, BUILDING",59,Day
C26,AUTO,2,Day
C67,PARKING LOT/GARAGE(NON.RESID.),77,Day
C37,DEPARTMENT STORE,3,Day
C38,TAXICAB,3,Day
C30,FACTORY/MANUFACTURING BUILDING,4,Day
C23,LIBRARY,10,Day
C73,"SCHOOL, PRIVATE, BUILDING",9,Day
C70,FACTORY/MANUFACTURING BUILDING,1,Day
C72,RESIDENCE PORCH/HALLWAY,16,Day
C76,AIRPORT VENDING ESTABLISHMENT,74,Day
C63,WAREHOUSE,3,Day
C68,ALLEY,88,Day
C23,OTHER,187,Day
C58,"SCHOOL, PRIVATE, GROUNDS",1,Day
C23,VEHICLE - OTHER RIDE SERVICE,1,Day
C19,BAR OR TAVERN,3,Day
C8,BOAT/WATERCRAFT,4,Day
C19,CURRENCY EXCHANGE,15,Day
C49,YARD,1,Day
C36,RESIDENCE,79,Day
C6,TAXICAB,10,Day
C40,TAVERN/LIQUOR STORE,5,Day
C71,CTA PLATFORM,1,Day
C43,LIBRARY,3,Day
C57,WAREHOUSE,9,Day
C9,PARKING LOT/GARAGE(NON.RESID.),7,Day
C17,BARBERSHOP,2,Day
C8,SPORTS ARENA/STADIUM,2,Day
C46,CTA BUS,11,Day
C5,WAREHOUSE,1,Day
C9,SIDEWALK,5,Day
C49,NEWSSTAND,2,Day
C15,VEHICLE-COMMERCIAL,3,Day
C1,CTA GARAGE / OTHER PROPERTY,20,Day
C38,APARTMENT,425,Day
C31,BANK,10,Day
C49,TAVERN/LIQUOR STORE,2,Day
C77,BARBERSHOP,3,Day
C30,CONSTRUCTION SITE,5,Day
C56,STREET,213,Day
C67,CLEANING STORE,1,Day
C43,SMALL RETAIL STORE,111,Day
C13,RESIDENCE-GARAGE,15,Day
C6,SAVINGS AND LOAN,1,Day
C58,APARTMENT,186,Day
C25,CTA STATION,16,Day
C33,CTA TRAIN,16,Day
C43,VEHICLE NON-COMMERCIAL,92,Day
C14,GAS STATION,5,Day
C65,CTA STATION,1,Day
C27,PARKING LOT/GARAGE(NON.RESID.),90,Day
C46,ABANDONED BUILDING,5,Day
C58,PARK PROPERTY,9,Day
C35,VEHICLE-COMMERCIAL,1,Day
C7,CAR WASH,2,Day
C33,"SCHOOL, PRIVATE, BUILDING",2,Day
C5,DRIVEWAY - RESIDENTIAL,1,Day
C44,"SCHOOL, PRIVATE, GROUNDS",4,Day
C27,SIDEWALK,466,Day
C23,WAREHOUSE,10,Day
C69,COMMERCIAL / BUSINESS OFFICE,15,Day
C53,BOWLING ALLEY,1,Day
C75,RESIDENTIAL YARD (FRONT/BACK),46,Day
C42,"SCHOOL, PUBLIC, GROUNDS",19,Day
C31,CTA PLATFORM,4,Day
C10,FACTORY/MANUFACTURING BUILDING,2,Day
C34,ATM (AUTOMATIC TELLER MACHINE),1,Day
C38,DAY CARE CENTER,1,Day
C7,CTA STATION,14,Day
C48,OTHER RAILROAD PROP / TRAIN DEPOT,2,Day
C62,HOTEL/MOTEL,1,Day
C32,CTA BUS,43,Day
C46,SPORTS ARENA/STADIUM,3,Day
C64,RESTAURANT,12,Day
C57,LIBRARY,2,Day
C25,APPLIANCE STORE,3,Day
C41,HIGHWAY/EXPRESSWAY,1,Day
C68,AIRCRAFT,1,Day
C43,OTHER,166,Day
C16,RESIDENCE,355,Day
C8,COLLEGE/UNIVERSITY RESIDENCE HALL,2,Day
C68,ATM (AUTOMATIC TELLER MACHINE),3,Day
C77,DRIVEWAY - RESIDENTIAL,1,Day
C31,PAWN SHOP,2,Day
C16,STREET,470,Day
C44,SAVINGS AND LOAN,1,Day
C62,AIRPORT PARKING LOT,1,Day
C35,VACANT LOT/LAND,1,Day
C1,GROCERY FOOD STORE,84,Day
C24,OTHER COMMERCIAL TRANSPORTATION,2,Day
C53,RESIDENCE-GARAGE,67,Day
C23,CHA APARTMENT,8,Day
C1,OTHER RAILROAD PROP / TRAIN DEPOT,4,Day
C22,CTA BUS STOP,3,Day
C33,CHA PARKING LOT/GROUNDS,2,Day
C26,CTA BUS,11,Day
C8,MEDICAL/DENTAL OFFICE,22,Day
C77,DEPARTMENT STORE,11,Day
C76,CTA BUS STOP,1,Day
C44,OTHER COMMERCIAL TRANSPORTATION,3,Day
C39,CONVENIENCE STORE,7,Day
C6,CHA HALLWAY/STAIRWELL/ELEVATOR,2,Day
C11,BANK,14,Day
C56,GOVERNMENT BUILDING/PROPERTY,1,Day
C29,COMMERCIAL / BUSINESS OFFICE,15,Day
C57,BARBERSHOP,1,Day
C3,VACANT LOT/LAND,4,Day
C10,CONSTRUCTION SITE,1,Day
C29,TAVERN/LIQUOR STORE,10,Day
C4,COIN OPERATED MACHINE,1,Day
C4,"SCHOOL, PUBLIC, GROUNDS",8,Day
C71,MEDICAL/DENTAL OFFICE,4,Day
C30,CURRENCY EXCHANGE,8,Day
C14,ALLEY,42,Day
C42,HOTEL/MOTEL,6,Day
C32,RESIDENCE PORCH/HALLWAY,12,Day
C44,TAXICAB,2,Day
C63,VEHICLE NON-COMMERCIAL,23,Day
C46,AUTO,2,Day
C47,PARKING LOT/GARAGE(NON.RESID.),5,Day
C7,CONVENIENCE STORE,22,Day
C13,"SCHOOL, PRIVATE, BUILDING",3,Day
C35,RESIDENTIAL YARD (FRONT/BACK),8,Day
C24,"SCHOOL, PRIVATE, GROUNDS",6,Day
C53,"SCHOOL, PRIVATE, BUILDING",12,Day
C74,ALLEY,3,Day
C66,POLICE FACILITY/VEH PARKING LOT,14,Day
C5,COLLEGE/UNIVERSITY GROUNDS,3,Day
C56,AIRPORT VENDING ESTABLISHMENT,1,Day
C25,BAR OR TAVERN,3,Day
C52,DRUG STORE,3,Day
C55,RESIDENTIAL YARD (FRONT/BACK),19,Day
C41,MOVIE HOUSE/THEATER,1,Day
C2,ATHLETIC CLUB,2,Day
C66,AUTO / BOAT / RV DEALERSHIP,1,Day
C44,CTA TRACKS - RIGHT OF WAY,1,Day
C50,POOL ROOM,1,Day
C56,RESIDENCE,306,Day
C21,VACANT LOT/LAND,1,Day
C22,"SCHOOL, PUBLIC, GROUNDS",20,Day
C66,SPORTS ARENA/STADIUM,2,Day
C60,TAVERN/LIQUOR STORE,1,Day
C11,CTA PLATFORM,2,Day
C5,VEHICLE NON-COMMERCIAL,17,Day
C75,VACANT LOT/LAND,12,Day
C38,PARK PROPERTY,13,Day
C28,OTHER RAILROAD PROP / TRAIN DEPOT,73,Day
C68,GROCERY FOOD STORE,31,Day
C19,FACTORY/MANUFACTURING BUILDING,8,Day
C68,OTHER RAILROAD PROP / TRAIN DEPOT,1,Day
C44,RESTAURANT,77,Day
C37,LIBRARY,1,Day
C52,CTA BUS,2,Day
C22,COIN OPERATED MACHINE,1,Day
C25,CONVENIENCE STORE,88,Day
C8,POLICE FACILITY/VEH PARKING LOT,12,Day
C65,CONVENIENCE STORE,2,Day
C7,APPLIANCE STORE,1,Day
C75,VEHICLE-COMMERCIAL,2,Day
C71,HOUSE,1,Day
C43,CHA APARTMENT,4,Day
C55,COMMERCIAL / BUSINESS OFFICE,2,Day
C58,OTHER COMMERCIAL TRANSPORTATION,2,Day
C67,SIDEWALK,470,Day
C15,VACANT LOT/LAND,3,Day
C2,TAVERN/LIQUOR STORE,2,Day
C70,CURRENCY EXCHANGE,5,Day
C33,RESIDENCE-GARAGE,25,Day
C60,ATHLETIC CLUB,1,Day
C33,LAKEFRONT/WATERFRONT/RIVERBANK,3,Day
C15,COMMERCIAL / BUSINESS OFFICE,18,Day
C59,CONVENIENCE STORE,4,Day
C73,RESIDENCE-GARAGE,52,Day
C18,NURSING HOME/RETIREMENT HOME,4,Day
C34,GAS STATION,14,Day
C23,VEHICLE NON-COMMERCIAL,97,Day
C41,"SCHOOL, PUBLIC, BUILDING",13,Day
C17,DEPARTMENT STORE,6,Day
C57,DEPARTMENT STORE,21,Day
C71,AUTO,4,Day
C8,CTA BUS,29,Day
C50,FACTORY/MANUFACTURING BUILDING,1,Day
C52,RESIDENCE PORCH/HALLWAY,11,Day
C57,ATHLETIC CLUB,1,Day
C27,CURRENCY EXCHANGE,1,Day
C76,CTA TRAIN,10,Day
C1,CTA STATION,33,Day
C39,HOTEL/MOTEL,2,Day
C44,RESIDENCE,739,Day
C13,APPLIANCE STORE,1,Day
C4,ANIMAL HOSPITAL,1,Day
C46,OTHER,57,Day
C68,CAR WASH,1,Day
C33,FACTORY/MANUFACTURING BUILDING,1,Day
C16,GROCERY FOOD STORE,13,Day
C51,LIBRARY,2,Day
C5,ATHLETIC CLUB,2,Day
C53,POOL ROOM,2,Day
C25,"SCHOOL, PUBLIC, GROUNDS",56,Day
C11,BARBERSHOP,1,Day
C5,COMMERCIAL / BUSINESS OFFICE,12,Day
C50,CTA BUS STOP,2,Day
C13,CONVENIENCE STORE,2,Day
C25,BARBERSHOP,13,Day
C33,CONSTRUCTION SITE,11,Day
C43,NEWSSTAND,1,Day
C62,ATM (AUTOMATIC TELLER MACHINE),1,Day
C49,DRUG STORE,16,Day
C76,CTA GARAGE / OTHER PROPERTY,7,Day
C47,RESTAURANT,1,Day
C72,OTHER COMMERCIAL TRANSPORTATION,2,Day
C10,STREET,121,Day
C46,APARTMENT,477,Day
C57,TAVERN/LIQUOR STORE,1,Day
C46,PARK PROPERTY,16,Day
C67,RESTAURANT,27,Day
C30,GOVERNMENT BUILDING/PROPERTY,18,Day
C66,APARTMENT,517,Day
C46,CHA APARTMENT,9,Day
C77,GAS STATION,8,Day
C71,DEPARTMENT STORE,53,Day
C49,CTA BUS,15,Day
C23,ATHLETIC CLUB,2,Day
C19,COIN OPERATED MACHINE,1,Day
C5,TAVERN/LIQUOR STORE,1,Day
C66,PARK PROPERTY,21,Day
C69,DRUG STORE,17,Day
C43,VEHICLE-COMMERCIAL,1,Day
C21,SIDEWALK,71,Day
C63,COMMERCIAL / BUSINESS OFFICE,5,Day
C19,STREET,656,Day
C35,SIDEWALK,128,Day
C75,SIDEWALK,60,Day
C28,CTA STATION,26,Day
C67,CURRENCY EXCHANGE,13,Day
C19,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7,Day
C46,VEHICLE NON-COMMERCIAL,72,Day
C55,RESIDENCE PORCH/HALLWAY,5,Day
C29,POLICE FACILITY/VEH PARKING LOT,273,Day
C39,GOVERNMENT BUILDING/PROPERTY,3,Day
C9,RESTAURANT,5,Day
C14,AUTO,1,Day
C8,APARTMENT,305,Day
C38,"SCHOOL, PUBLIC, BUILDING",48,Day
C18,RESIDENTIAL YARD (FRONT/BACK),11,Day
C42,GROCERY FOOD STORE,22,Day
C36,"SCHOOL, PRIVATE, BUILDING",2,Day
C8,SMALL RETAIL STORE,738,Day
C8,PARK PROPERTY,40,Day
C70,HOTEL/MOTEL,7,Day
C47,FACTORY/MANUFACTURING BUILDING,1,Day
C65,"SCHOOL, PUBLIC, GROUNDS",11,Day
C23,TAVERN/LIQUOR STORE,10,Day
C66,OTHER,186,Day
C75,DRUG STORE,12,Day
C76,AIRCRAFT,38,Day
C38,VACANT LOT/LAND,7,Day
C71,DRIVEWAY - RESIDENTIAL,10,Day
C24,RESIDENCE,631,Day
C50,STREET,134,Day
C7,HOTEL/MOTEL,13,Day
C6,"SCHOOL, PUBLIC, BUILDING",26,Day
C4,ALLEY,27,Day
C24,MOVIE HOUSE/THEATER,1,Day
C70,GOVERNMENT BUILDING/PROPERTY,1,Day
C32,OTHER COMMERCIAL TRANSPORTATION,4,Day
C31,DEPARTMENT STORE,14,Day
C43,TAVERN/LIQUOR STORE,13,Day
C62,HOSPITAL BUILDING/GROUNDS,1,Day
C30,CTA BUS STOP,2,Day
C26,SMALL RETAIL STORE,60,Day
C7,"SCHOOL, PUBLIC, GROUNDS",12,Day
C45,BARBERSHOP,2,Day
C29,DRUG STORE,20,Day
C54,HOUSE,1,Day
C27,RESTAURANT,21,Day
C26,APARTMENT,496,Day
C56,CTA TRAIN,8,Day
C74,BANK,4,Day
C41,CLEANING STORE,1,Day
C73,CONSTRUCTION SITE,5,Day
C65,BARBERSHOP,1,Day
C4,GROCERY FOOD STORE,64,Day
C1,CTA PLATFORM,17,Day
C22,ALLEY,68,Day
C74,COLLEGE/UNIVERSITY RESIDENCE HALL,1,Day
C36,CHA PARKING LOT/GROUNDS,4,Day
C57,GAS STATION,5,Day
C51,DEPARTMENT STORE,49,Day
C8,COLLEGE/UNIVERSITY GROUNDS,5,Day
C14,MEDICAL/DENTAL OFFICE,2,Day
C54,AUTO,1,Day
C1,CONVENIENCE STORE,25,Day
C55,PARKING LOT/GARAGE(NON.RESID.),26,Day
C43,RESIDENTIAL YARD (FRONT/BACK),88,Day
C24,"SCHOOL, PUBLIC, BUILDING",101,Day
C32,"SCHOOL, PRIVATE, GROUNDS",8,Day
C11,WAREHOUSE,1,Day
C15,SIDEWALK,82,Day
C3,SIDEWALK,242,Day
